Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,1.372825125,1.46750272,1.562180315,1.609519113,1.65685791,1.704196707,1.798874302,1.8462131,1.940890695,2.035568289,2.177584682,2.272262277,2.366939871,2.508956264,2.603633859,2.745650251,2.840327846,2.982344238,3.077021833,3.219038225,3.31371582,3.455732212,3.550409807,3.6924262,3.787103794,3.929120187
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,7.82337041,8.344928438,9.388044492,9.90960252,9.90960252,9.90960252,9.90960252,9.388044492,9.388044492,8.866486465,8.344928438,7.82337041,7.301812383,6.780254356,6.258696328,5.737138301,5.737138301,5.215580273,5.215580273,5.163424471,5.111268668,5.059112865,5.059112865,5.006957063,5.006957063,4.95480126
Burundi,2.010642835,2.680857114,3.434848177,4.35639281,5.361714227,6.28325886,7.121026708,7.875017771,8.37767848,9.215446328,9.215446328,10.05321418,10.05321418,10.05321418,9.215446328,9.215446328,9.215446328,8.37767848,8.37767848,8.126348126,7.791240986,7.456133847,7.204803493,6.953473138,6.702142784,6.45081243
Cambodia,0.099524955,0.286134245,0.808640259,1.803889808,3.110154842,4.478622973,5.660481813,6.842340653,6.842340653,7.464371621,7.464371621,7.464371621,6.842340653,6.842340653,6.220309684,5.971497297,5.72268491,5.598278716,5.473872522,5.349466329,5.225060135,5.100653941,4.976247747,4.851841554,4.72743536,4.603029166
Cameroon,4.895224052,6.119030065,7.750771416,9.382512767,11.01425412,12.64599547,14.27773682,15.50154283,16.72534884,17.94915486,18.76502553,19.58089621,19.98883155,20.39676688,20.80470222,21.21263756,21.6205729,22.02850823,22.43644357,23.25231425,23.66024959,24.06818492,24.47612026,24.8840556,24.8840556,25.29199094
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,2.249432018,2.624337355,2.999242691,3.561600696,3.936506032,4.498864037,5.061222041,5.436127378,5.811032714,6.185938051,6.560843387,6.748296055,6.935748723,6.935748723,6.748296055,6.748296055,6.560843387,6.560843387,6.373390719,6.373390719,6.185938051,5.998485382,5.998485382,5.998485382,5.998485382,5.998485382
Central African Republic,12.15966185,14.90539195,18.0433692,21.57359361,25.49606517,27.45730096,31.37977252,33.3410083,35.30224409,35.30224409,35.30224409,35.30224409,35.30224409,33.3410083,31.37977252,31.37977252,29.41853674,27.45730096,27.45730096,27.45730096,25.49606517,25.49606517,25.49606517,23.53482939,23.53482939,23.53482939
