Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,0.17515355,0.151484152,0.142016392,0.146750272,0.151484152,0.156218032,0.165685791,0.170419671,0.17515355,0.17988743,0.18462131,0.18935519,0.194089069,0.194089069,0.198822949,0.198822949,0.198822949,0.198822949,0.198822949,0.203556829,0.203556829,0.203556829,0.203556829,0.208290709,0.208290709,0.208290709
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,1.408206674,1.356050871,1.251739266,1.14742766,1.043116055,0.886648646,0.782337041,0.625869633,0.57371383,0.458971064,0.396384101,0.349443878,0.328581557,0.307719236,0.286856915,0.276425754,0.276425754,0.255563433,0.250347853,0.265994594,0.260779014,0.260779014,0.250347853,0.250347853,0.245132273,0.219054371
Burundi,0.653458921,0.787501777,1.005321418,1.172874987,1.256651772,1.424205342,1.340428557,1.340428557,1.340428557,1.172874987,1.089098202,0.837767848,0.753991063,0.628325886,0.536171423,0.469149995,0.410506246,0.343484818,0.318351782,0.293218747,0.259708033,0.234574997,0.209441962,0.184308927,0.159175891,0.100532142
Cambodia,0.068423407,0.1928296,0.522506013,0.995249549,1.368468131,1.492874324,1.368468131,1.119655743,0.870843356,0.746437162,0.622030968,0.510065394,0.435421678,0.3856592,0.335896723,0.273693626,0.230151458,0.1928296,0.161728052,0.124406194,0.105745265,0.080864026,0.068423407,0.062203097,0.062203097,0.062203097
Cameroon,1.346186614,1.590947817,1.83570902,1.998883155,2.16205729,2.243644357,2.284437891,2.284437891,2.284437891,2.243644357,2.202850823,2.16205729,2.080470222,2.039676688,1.998883155,1.958089621,1.917296087,1.917296087,1.876502553,1.876502553,1.83570902,1.876502553,1.876502553,1.876502553,1.83570902,1.794915486
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336
Central African Republic,2.941853674,3.530224409,3.922471565,4.314718722,4.5108423,4.5108423,4.5108423,4.314718722,3.922471565,3.530224409,3.137977252,2.745730096,2.353482939,2.157359361,1.863173993,1.706275131,1.608213342,1.549376268,1.568988626,1.52976391,1.510151553,1.510151553,1.510151553,1.510151553,1.451314479,1.372865048
Chad,0.514517341,0.588019818,0.668204338,0.735024772,0.86866564,1.002306508,1.069126942,1.202767809,1.269588243,1.336408677,1.403229111,1.403229111,1.403229111,1.336408677,1.269588243,1.202767809,1.069126942,0.935486074,0.86866564,0.801845206,0.735024772,0.668204338,0.648158208,0.608065948,0.621430035,0.554609601
Chile,0.060064996,0.060064996,0.06552545,0.06552545,0.06552545,0.06552545,0.070985904,0.070985904,0.070985904,0.076446358,0.076446358,0.076446358,0.081906812,0.081906812,0.081906812,0.087367267,0.087367267,0.087367267,0.087367267,0.092827721,0.092827721,0.092827721,0.092827721,0.098288175,0.098288175,0.098288175
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,0.085595533,0.097823467,0.108013411,0.1100514,0.1100514,0.114127378,0.120241344,0.1283933,0.138583244,0.1467352,0.154887155,0.163039111,0.171191067,0.177305033,0.183419,0.187494978,0.193608944,0.197684922,0.199722911,0.2017609,0.203798889,0.203798889,0.203798889,0.203798889,0.203798889,0.224178778
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.101923791,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582,0.203847582
Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,0.017558979,0.017558979,0.017558979,0.017558979,0.017558979,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.043897447,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894,0.087794894,0.096574384,0.114133363,0.131692341,0.14925132,0.166810299,0.184369278,0.210707746,0.237046215,0.272164172
Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czech Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,1.847506324,2.099439005,2.309382905,2.477338026,2.603304366,2.687281926,2.687281926,2.645293146,2.519326806,2.351371685,2.183416565,1.973472664,1.847506324,1.679551204,1.553584863,1.385629743,1.385629743,1.385629743,1.301652183,1.343640963,1.091708282,1.133697063,1.091708282,1.091708282,1.091708282,1.049719502
