Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,0.041184754,0.052072677,0.061540437,0.075742076,0.085209835,0.099411475,0.094677595,0.089943715,0.080475956,0.066274316,0.066274316,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.071008196,0.075742076,0.071008196,0.071008196
Brunei Darussalam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,0.302503656,0.365090619,0.438108743,0.505911287,0.57371383,0.625869633,0.678025436,0.730181238,0.730181238,0.730181238,0.730181238,0.730181238,0.730181238,0.678025436,0.625869633,0.57371383,0.464186644,0.38595294,0.349443878,0.297288076,0.271210174,0.234701112,0.203407631,0.203407631,0.203407631,0.18776089
Burundi,0.083776785,0.083776785,0.092154463,0.125665177,0.16755357,0.21781964,0.268085711,0.326729461,0.38537321,0.452394638,0.519416066,0.578059815,0.628325886,0.686969635,0.712102671,0.686969635,0.6618366,0.653458921,0.619948208,0.561304458,0.511038387,0.452394638,0.393750889,0.335107139,0.309974104,0.251330354
Cambodia,0.00622031,0.00622031,0.012440619,0.031101548,0.062203097,0.087084336,0.149287432,0.236371768,0.335896723,0.441641988,0.534946633,0.603370039,0.622030968,0.684234065,0.615810659,0.528726323,0.404320129,0.298574865,0.236371768,0.20527022,0.19904991,0.1928296,0.174168671,0.161728052,0.143067123,0.124406194
Cameroon,0.138698015,0.187650255,0.248840556,0.322268917,0.407935338,0.489522405,0.611903007,0.734283608,0.856664209,0.938251277,1.060631878,1.183012479,1.264599547,1.346186614,1.386980148,1.305393081,1.264599547,1.305393081,1.223806013,1.142218946,1.142218946,1.223806013,1.223806013,1.223806013,1.305393081,1.346186614
Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cape Verde,0.187452668,0.187452668,0.187452668,0.187452668,0.187452668,0.187452668,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.937263341,0.937263341,0.937263341,0.937263341,0.937263341,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336,0.374905336
Central African Republic,0.372634799,0.490308946,0.62759545,0.784494313,0.980617891,1.196353827,1.412089763,1.647438057,1.863173993,2.157359361,2.353482939,2.353482939,2.549606517,2.549606517,2.745730096,2.745730096,2.549606517,2.353482939,2.157359361,1.843561636,1.863173993,1.882786351,1.902398709,1.863173993,1.784724562,1.52976391
