"name",12/13,13/14,14/15,15/16,16/17,17/18
"Pavel Pogrebnyak",2257.0,3196.0,2244.0,1388.0,213.0,294.0
"Alejandro Barbaro",90.0,771.0,90.0,764.0,1314.0,136.0
"Konstantin Savichev",117.0,NaN,NaN,2522.0,2197.0,920.0
"Vladislav Nikiforov",538.0,1911.0,2446.0,3406.0,2626.0,1470.0
"Dmitri Kabutov",2040.0,690.0,1244.0,1491.0,2233.0,2236.0
"Maksim Kazankov",NaN,NaN,NaN,1574.0,1979.0,1211.0
"Maksim Kanunnikov",1406.0,1681.0,2224.0,3460.0,1939.0,1282.0
"Miroslav Markovic",1438.0,1331.0,631.0,1224.0,1099.0,1466.0
"Lukasz Sekulski",1564.0,691.0,3153.0,692.0,1399.0,763.0
"Aleksandr Maksimenko",NaN,NaN,NaN,NaN,NaN,72.0
"Ousmane Dembélé",NaN,NaN,NaN,2111.0,3387.0,600.0
"Lionel Messi",4070.0,3742.0,5060.0,4229.0,4452.0,3483.0
"Aleix Vidal",3179.0,3279.0,3393.0,888.0,886.0,980.0
"Luis Suárez",3720.0,3249.0,3532.0,4766.0,4302.0,3428.0
"Paco Alcácer",855.0,2388.0,2402.0,3087.0,1385.0,776.0
"Cristiano Ronaldo",4631.0,4030.0,4640.0,4293.0,4126.0,2877.0
"Marco Asensio",NaN,1197.0,2915.0,3047.0,1918.0,2116.0
"Gareth Bale",3891.0,3328.0,4038.0,2382.0,1937.0,1707.0
"Lucas Vázquez",795.0,3479.0,3189.0,1647.0,2279.0,1949.0
"Karim Benzema",2881.0,4054.0,3669.0,2593.0,3239.0,2303.0
"Borja Mayoral",NaN,NaN,816.0,3320.0,426.0,772.0
"Vitolo",3769.0,3265.0,3131.0,3717.0,3390.0,1306.0
"Ángel Correa",798.0,3365.0,NaN,1435.0,1919.0,2350.0
"Antoine Griezmann",2923.0,3696.0,3420.0,4380.0,4559.0,2960.0
"Diego Costa",3054.0,4155.0,2935.0,3370.0,3490.0,959.0
"Kévin Gameiro",1168.0,2709.0,1912.0,3572.0,2363.0,1237.0
"Fernando Torres",4653.0,2263.0,1792.0,2530.0,2197.0,1167.0
"Gonçalo Guedes",0.0,858.0,2908.0,2113.0,2283.0,1887.0
"Andreas Pereira",6.0,1565.0,1626.0,1318.0,2881.0,1291.0
"Ferrán Torres",NaN,NaN,NaN,NaN,74.0,930.0
"Simone Zaza",2847.0,2386.0,2745.0,1018.0,1947.0,2148.0
"Rodrigo",2140.0,2666.0,2161.0,2175.0,1588.0,2277.0
"Luciano Vietto",2647.0,2449.0,2955.0,1455.0,1890.0,1165.0
"Santi Mina",31.0,1431.0,1445.0,2293.0,1572.0,1531.0
"Joaquín Correa",395.0,2020.0,1269.0,1308.0,1759.0,2154.0
"Nolito",2122.0,2442.0,3061.0,2452.0,1349.0,1686.0
"Pablo Sarabia",629.0,2141.0,2927.0,2553.0,2809.0,2830.0
"Jesús Navas",3924.0,2852.0,3006.0,3510.0,1797.0,2224.0
"Wissam Ben Yedder",2578.0,3090.0,2988.0,3348.0,2268.0,2174.0
